Unnamed: 0,id_str,text,created_at,polarity,user_location,senti
0,1333670422106304512,RT @bioethicsdotcom: Absolutely Remarkable: No One Who Got Modernas Vaccine in Trial Developed Severe COVID-19 https://t.co/3QADpyduiQ,2020-12-01 07:13:01,0,"Madrid, Spain",0
1,1333670422135644162,RT @BTSFanQuiz: The fifth track of the BE album  was inspired by their situation while in lockdown. The song created by Suga with retro-pop,2020-12-01 07:13:01,0,Albania,0
2,1333670422299152387,"RT @KailashChandOBE: Dear @RishiSunak ,
Correct me,if I am wrong! You have spent lot more money than comparative economies,to fight #COVID1",2020-12-01 07:13:01,0,"Ross-on-Wye, England",0
3,1333670422508924928,RT @EmilyThornberry: Deeply moving report on Poverty and Covid on the  @BBCNews at 10 tonight. They followed the work of Father Alex Frost,2020-12-01 07:13:01,0,,0
4,1333670422529912833,"RT @thebradfordfile: Even CNN is now admitting China lied about Covid cases and deaths.

Trump was right--again.",2020-12-01 07:13:01,0,,1
5,1333670422622199808,RT @ImranKhanPTI: Problem confronting us in Pak during COVID 19 is of a political leadership that has never gone through any democratic str,2020-12-01 07:13:01,0,Pakistan  ,1
6,1333670422798356480,"RT @Catrambo: Just found out that Ben Bova has died, COVID-19-related complications. Edited a manuscript for him just a few months ago.

We",2020-12-01 07:13:01,0,Hudson Valley Region ,1
7,1333670422970241024,RT @Arron_banks: Empty high streets and millions facing unemployment means exponentially higher levels of emotional pain for those who can,2020-12-01 07:13:01,0,"Rugby, home of the gentleman's game.",0
8,1333670423444160513,"RT @drdavidsamadi: 33,772,990 people around the world have gotten COVID-19 and recovered from it.

The media doesnt want you to know that,",2020-12-01 07:13:02,0,"Florida, USA",1
9,1333670423628632064,"RT @OH_mes2: All of aespa and NCT have tested negative for Coronavirus

https://t.co/vVAeXotLCA https://t.co/OAQErNasMf",2020-12-01 07:13:02,0, @prapaying96 / JroBae09,0
10,1333670423695814657,"RT @jamesfordtv: Pleasure at the end of a hard days work covering #coronavirus to hear @bts_bighit s Life Goes On, about overcoming the",2020-12-01 07:13:02,0,"Auckland, NZ",1
11,1333670424379498496,RT @CaptMarkKelly: Washington has failed to come together to build a coordinated national response to this pandemic  and its costing Ariz,2020-12-01 07:13:02,-1,"Prescott, Arizona",1
12,1333670424505327617,"RT @ConnieSchultz: A friends husband, quarantined at home with Covid, has died of a heart attack. He was an essential worker. His wife tri",2020-12-01 07:13:02,0,"Seattle, WA via NC",0
13,1333670424337637376,"RT @TheLeadCNN: CNN exclusive: Vast trove of leaked documents shows China underreported Covid-19 numbers, took weeks to diagnose new cases",2020-12-01 07:13:02,0,"Independence, MO",1
14,1333670424677281793,"RT @drdavidsamadi: 33,772,990 people around the world have gotten COVID-19 and recovered from it.

The media doesnt want you to know that,",2020-12-01 07:13:02,0,,0
15,1333670424715079680,"RT @NYGovCuomo: To all the tough guys"" who don't want to wear a mask or worry about COVID.

I have a message for you. 

Exhausted nurses &amp;",2020-12-01 07:13:02,0,Florida,1
